mLLvLAAQQbeehgjklkjljlhhanbcaeentsb_011102200011 0.2634489105 [7, 2]
oLLLLLQMPPcbceihkkjkjlmnnntsajwxxtatajhah_20102222201002 0.2718203472 [7, 9]
oLLPvvMMQQccdcfjhhmlklmnnnhsraaqjcofofeeh_12220102112210 0.2971286791 [1, 3]
oLLvAQvzQQcbeehfgimmlknmnnxxxacvvarcrcwrv_21112002211111 0.2815732959 [5, 2]
oLLvAQzzAQcbeehfgijlkmmnnnxxxacvvqackvaqq_21112002211112 0.2964085136 [5, 2]
oLLvLAALQQcbeehgjkjmjlnnmnhhanbcanhsbcccf_01110220001122 0.21927365040 [7, 2]
oLLvvMQAPQccdgglkhijnmmnnmqckkaakvvaawwww_01112200221111 0.2918238116 [3, 1]
pLALLvvQPQQcbbegkjnmjlmonooqqjnaaxgckvctvtq_022001212020021 0.28181830081 [4, 3]
pLALLvvQQAQcbbegkjjnnnlmoooqqjnaxxgbswvvhah_022001212020022 0.28478775223 [4, 3]
pLLLvPAQPzQacfiihkijllmnooojkguqxxmfsjaxqaq_200212101000110 0.29661780759 [11, 9]
pLLPvvMzQQQcdcfjhnmlklmooonhsraaqqcofofeehs_122201021122100 0.28817490357 [1, 3]
pLLvAMPLLQQbeehfijjmmlonnooxxxacvxaarcmrvmx_211120022111110 0.27680546619 [5, 2]
pLLvAMvMMQQbeehfimmnlnomlooxxxacvaxxvcxccxa_211120022111110 0.26188545896 [5, 2]
pLLvAQzzAPQbeehfgijlkmnnonoxxxacvvqackaqhqn_211120022111120 0.2894597111 [5, 2]
pLLvLAAvQQQbeehgjkmjolnnmnohhanbcahsabcccfn_011102200011221 0.2892896097 [7, 2]
pLLvLwPPAQQbeehlklkjnnoomonhhanahiintehvrvw_011102200011112 0.2744760364 [7, 2]
pLLzzLPzQAQcdeghjikmnlmlooohsahjqqasqfjsqjo_100012120000022 0.2358264512 [1, 3]
pLLzzvzQQMQcdegimlkjnlnonmohsahaaaankfkqswj_100012120001102 0.2813829000 [3, 0, 1]
pLvvwMAwQQQcghihlijnmnmloooqassfasfhaaaasfs_210122211221110 0.2810086791 [2, 0]
pLvvwMAwQQQcghihlijnmnmloooqassfasfhaaaasfs_210122211221110 0.2810086791 [2, 0]
pLvwLvMQMQQbefkijinjolmnmoohahakkkakajsosjf_200022111100000 0.26267012777 [13, 14]
pvLAvAQvPQQecfjigkhonlmononccaaacavaavvcccc_011110002212211 0.2916771635 [3, 7]
pvLLMvMLQQQegfghjnlmonolnmogmmmggtglqqpbthj_210010022222100 0.28400562061 [0, 1]
pvLLMvvQQQQegfgmioljkomlnnogmmmarlgjrhqbhkw_210010022222111 0.27022324464 [0, 1]
pvLLMvvQQQQegfgmiolnmkomlnogmmmarlglmrhqbhw_210010022222111 0.2822121193 [0, 1]
qLALLvLQQLMkcbbegikjijlmnopppqqjnaxxxrkvvaaxxa_0220012120200220 0.29630991521 [4, 3]
qLALLvvQzQQkcbbegkjnmplmonoopqqjnaaxgcxvctvtqn_0220012120200211 0.27226050656 [4, 3]
qLAvLALLAAQkbcbgffilnkomppoophhwaaswagsabqqiea_2112200112200001 0.2552554911 [7, 11, 8]
qLAvLLLzQQMkcbbhjilnmokolnpophhrhkrahhhxckgqbj_1221102020110012 0.28524894072 [8, 6]
qLAwLwvLQAQkcbbdfhkjjmnonoppphhrhjaaqjofvfopph_1221220102112210 0.2825173418 [5, 4]
qLAwLwvLQQMkcbbdfhkjolmnooppphhrhjaqqnvoocrxxa_1221220102112211 0.28174146993 [5, 4]
qLLLPwPzwQMkcdgefhkjkllmonpppqrqqooqqvvnhcchah_0222100012212002 0.2961085719 [8, 11]
qLLLvAzQAAMkbcfghlijjkmmnopppxcxvcafeexvfaaqqa_1022211001222112 0.2939371324 [12, 10]
qLLvAMLLQLQkbeehfijnmlkoppopoxxxacvaaannaamllm_2111200221111100 0.28454846815 [5, 2]
qLLvAMzLwQQkbeehfijmnpmomopopxxxacvxxxxcavxxax_2111200221111100 0.28178183575 [5, 2]
qLLvAwzvQQQkbeehginlnmpommnppxxxavcqbbvckkvgwc_2111200221111111 0.2938758957 [6, 2]
qLLvLAALQzQkbeehgjkjmjlopnpophhanbcanhsbaefeeb_0111022000112222 0.19940123445 [7, 2]
qLLvLvAPQAQkbdfmlmkjnokompoppdwgxaxawpaaagcwbf_2101022222110011 0.2466587630 [10, 7]
qLLvLvMQAPQkbchkmjnmnmokpnopptsoixgxmlmatfrfff_2010222222001100 0.2675311107 [10, 9]
qLLvLwALAQQkbeehjlmjonmonoppphhancaenhebcbckkk_0111022000111122 0.2101082668 [7, 2]
qLLvLwMMMQMkbchjimklnkooonppptsjjwatumtxaocaqq_2010222222011102 0.27141634871 [8, 10]
qLLvLwPQzQMkbeehlkilkjkmonopphhanahkiisirrgkxr_0111022000111112 0.29269155783 [7, 2]
qLLvLwQwQLQkbeehjljkjmnpopopohhancacanhhaaeeee_0111022000112222 0.27990599830 [7, 2]
qLLvLzMQQLMkbcihkmjlijkkonppptsffiagaffataaxxa_2010222222011221 0.28906300431 [10, 9]
qLLzzvPPzQQkcdegjilknmpoponophsahqqhasfqhqasax_1000121200000022 0.2517627106 [1, 3]
qLLzzvzQQMMkcdegimlkjnlnonpophsahaaaankfkqshjr_1000121200011022 0.29103347868 [3, 0, 1]
qLvAAvPMvQQkcdfgejiklplonpopoqrqahqrwwarqrwrbg_0111200111112200 0.28752010575 [10, 11]
qLvALvwzQQQkadfgljmopnmpmolpojaakxcvxabbdbdkud_2002111002202222 0.28743846380 [6, 4]
qLvLzALAPMQkcfehfkminkmnopoppllegjtpnaehbgtget_1200001111122000 0.27012858856 [9, 12]
qLvvLLQPzQQkbfhhglnmjppomponohhnccahavhaqqnkvk_0111002200012121 0.2925917494 [11, 4]
qLvvwvAMQQQkcghmnnlpjlompmlopqafaammufmhhahhwr_2101222112211111 0.2654528725 [2, 0]
qLvvwvAMQQQkcghmnnlpjlompmlopqafaammufmhhahhwr_2101222112211111 0.2654528725 [2, 0]
qLvvwvAMQQQkcghmnplnjlompmlopqafaalddfdhhahhgg_2101222112211111 0.2654528725 [2, 0]
qLvvwvAMQQQkcghmnplnjlompmlopqafaalddfdhhahhgg_2101222112211111 0.2654528725 [2, 0]
qvLALPzLzQQkdcfgihknlopmopnopssamasaamaosoojjo_2000022221010000 0.28194039034 [4, 6]
qvLAvAAwLQQkecfjigkkpolnmpopoccaaacaaaaccccccc_0111100022112211 0.2810357849 [3, 7]
qvLAvMwPMPQkecfjhglknopmoponpccaaccagmaamcccoc_0111100022222211 0.2900504538 [3, 7]
qvLAvQwAPLQkecfjihglknmoppoopccaaaccaaaaaammmm_0111100022221100 0.27998072495 [3, 7]
qvLLwvPQQzQkcdflnikjljmopopopvvxvavcvvvxaxcvvc_1202011111112200 0.2625280601 [8, 6]
qvvLAPwLPQQkfgghgfkopnmnopnoppaaaaavxxpppgworb_2111122200000011 0.28682949597 [5, 2]
